ID_Venta,ID_Cliente,Fecha_Venta,Metodo_Pago,Modo_Entrega,ID_Detalle_Venta,ID_Producto_Venta,Cantidad,Precio_Unitario,Longitud_mt,Capas,Tipo_Empaque,ID_Producto,Tipo_Producto,Denier,Longitud_mm,Descripcion,ID_Importacion,Costo_Unitario,Volumen,Fecha_Importacion,Costo_Transporte,IVA,Arancel,Costo_Agente,Fecha_Costo,ID_Produccion,Costo_Produccion,Cantidad_Producida,Fecha_Produccion
6,1,2023-02-04,Efectivo,Retirado,44,1,10.0,20.0,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
6,1,2023-02-04,Efectivo,Retirado,45,1,10.0,20.0,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
6,1,2023-02-04,Efectivo,Retirado,46,5,11.3,22.0,2.1,2.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
6,1,2023-02-04,Efectivo,Retirado,47,5,10.5,22.0,2.1,2.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
6,1,2023-02-04,Efectivo,Retirado,48,5,9.8,22.0,2.1,3.0,rollo,5,Fibra Discontinua de poliéster,18,64,psf material rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
6,1,2023-02-04,Efectivo,Retirado,49,6,12.0,22.0,2.0,3.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
7,1,2023-02-17,QR,Entregado,50,1,20.0,19.5,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
7,1,2023-02-17,QR,Entregado,51,1,20.0,19.5,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
7,1,2023-02-17,QR,Entregado,52,1,20.0,19.5,,,saco,1,Fibra Siliconada,15,64,Grade A made in China,1.0,1.27,10000.0,2023-01-04,1016.0,1898.65,1270.0,63.5,,1.0,0.3,3000.0,2023-01-31
7,1,2023-02-17,QR,Entregado,53,3,20.0,20.0,,,saco,3,Fibra Siliconada,7,64,"material suave grade a, hcs - made in China",,,,,,,,,,,,,
7,1,2023-02-17,QR,Entregado,54,3,20.0,20.0,,,saco,3,Fibra Siliconada,7,64,"material suave grade a, hcs - made in China",,,,,,,,,,,,,
7,1,2023-02-17,QR,Entregado,55,6,11.8,21.5,2.0,1.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
7,1,2023-02-17,QR,Entregado,56,6,10.1,21.5,2.0,1.0,rollo,6,Fibra Discontinua de poliéster,15,64,psf material semi rigido de difusión para la creación de guata o lamina de poliéster,,,,,,,,,,,,,
